DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22,DrugName
DB00357,1,D268320,,,,,,,,,,,,,,,,,,,,,,DB00357
DB00361,1,D236000,,,,,,,,,,,,,,,,,,,,,,DB00361
DB00363,1,D181500,,,,,,,,,,,,,,,,,,,,,,DB00363
DB00364,3,D109350,D161900,D190310,,,,,,,,,,,,,,,,,,,,DB00364
DB00366,2,D145590,D147540,,,,,,,,,,,,,,,,,,,,,DB00366
DB00367,3,D131200,D184700,D192000,,,,,,,,,,,,,,,,,,,,DB00367
DB00368,1,D146500,,,,,,,,,,,,,,,,,,,,,,DB00368
DB00371,3,D145590,D200170,D601042,,,,,,,,,,,,,,,,,,,,DB00371
DB00373,7,D137750,D137760,D157300,D161900,D300125,D601682,D608622,,,,,,,,,,,,,,,,DB00373
DB00374,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,,DB00374
DB00376,1,D168100,,,,,,,,,,,,,,,,,,,,,,DB00376
DB00379,1,D115000,,,,,,,,,,,,,,,,,,,,,,DB00379
DB00380,7,D208750,D212112,D212130,D212350,D225740,D226000,D305300,,,,,,,,,,,,,,,,DB00380
DB00381,6,D125310,D145500,D161900,D179600,D608320,D608622,,,,,,,,,,,,,,,,,DB00381
DB00382,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,,DB00382
DB00384,5,D203700,D208300,D210050,D215140,D600351,,,,,,,,,,,,,,,,,,DB00384
DB00385,1,D109800,,,,,,,,,,,,,,,,,,,,,,DB00385
DB00387,3,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,,DB00387
DB00388,7,D137750,D137760,D145590,D146500,D147540,D601682,D608088,,,,,,,,,,,,,,,,DB00388
DB00390,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,,DB00390
DB00393,2,D125310,D601367,,,,,,,,,,,,,,,,,,,,,DB00393
DB00394,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,DB00394
DB00396,1,D217200,,,,,,,,,,,,,,,,,,,,,,DB00396
DB00397,5,D147540,D264120,D303110,D601665,D608088,,,,,,,,,,,,,,,,,,DB00397
DB00398,4,D114550,D144700,D188470,D605839,,,,,,,,,,,,,,,,,,,DB00398
DB00399,7,D102500,D143880,D167320,D254500,D276300,D602080,D605839,,,,,,,,,,,,,,,,DB00399
DB00401,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,,DB00401
DB00404,2,D167870,D252320,,,,,,,,,,,,,,,,,,,,,DB00404
DB00407,1,D188050,,,,,,,,,,,,,,,,,,,,,,DB00407
DB00408,1,D181500,,,,,,,,,,,,,,,,,,,,,,DB00408
DB00412,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00412
DB00413,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,DB00413
DB00414,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00414
DB00419,1,D230800,,,,,,,,,,,,,,,,,,,,,,DB00419
DB00421,7,D104130,D161900,D208300,D215140,D600351,D604416,D608622,,,,,,,,,,,,,,,,DB00421
DB00422,1,D143465,,,,,,,,,,,,,,,,,,,,,,DB00422
DB00424,5,D144110,D190310,D200170,D226150,D260570,,,,,,,,,,,,,,,,,,DB00424
DB00428,1,D236000,,,,,,,,,,,,,,,,,,,,,,DB00428
DB00433,6,D145590,D182830,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,,,,DB00433
DB00434,9,D113610,D147540,D157300,D181500,D218200,D300125,D312910,D606703,D606798,,,,,,,,,,,,,,DB00434
DB00436,5,D161900,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,,,,,DB00436
DB00437,2,D310468,D602068,,,,,,,,,,,,,,,,,,,,,DB00437
DB00440,3,D166760,D208550,D604416,,,,,,,,,,,,,,,,,,,,DB00440
DB00441,3,D114480,D144700,D605839,,,,,,,,,,,,,,,,,,,,DB00441
DB00443,4,D125600,D133600,D151590,D603165,,,,,,,,,,,,,,,,,,,DB00443
DB00444,6,D109543,D182280,D223350,D236000,D247640,D267730,,,,,,,,,,,,,,,,,DB00444
DB00445,2,D114480,D276300,,,,,,,,,,,,,,,,,,,,,DB00445
DB00448,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,,DB00448
DB00449,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,DB00449
DB00451,4,D138800,D140300,D255900,D275000,,,,,,,,,,,,,,,,,,,DB00451
DB00454,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00454
DB00457,7,D147530,D157950,D161900,D179600,D200170,D600082,D608622,,,,,,,,,,,,,,,,DB00457
DB00458,5,D143465,D147530,D167870,D600631,D600808,,,,,,,,,,,,,,,,,,DB00458
DB00461,2,D140600,D147530,,,,,,,,,,,,,,,,,,,,,DB00461
DB00464,1,D192200,,,,,,,,,,,,,,,,,,,,,,DB00464
DB00465,2,D147530,D308205,,,,,,,,,,,,,,,,,,,,,DB00465
DB00468,1,D200170,,,,,,,,,,,,,,,,,,,,,,DB00468
DB00470,1,D109100,,,,,,,,,,,,,,,,,,,,,,DB00470
DB00471,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,DB00471
DB00472,6,D131300,D164230,D167870,D181500,D252320,D607499,,,,,,,,,,,,,,,,,DB00472
DB00475,2,D103780,D226150,,,,,,,,,,,,,,,,,,,,,DB00475
DB00476,2,D147530,D165199,,,,,,,,,,,,,,,,,,,,,DB00476
DB00477,2,D145590,D181500,,,,,,,,,,,,,,,,,,,,,DB00477
DB00480,1,D254500,,,,,,,,,,,,,,,,,,,,,,DB00480
DB00481,3,D102500,D114480,D166710,,,,,,,,,,,,,,,,,,,,DB00481
DB00482,10,D135550,D140600,D147530,D165720,D175100,D175505,D208230,D246470,D607459,D607850,,,,,,,,,,,,,DB00482
DB00484,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,DB00484
DB00489,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,,DB00489
DB00490,6,D104130,D156190,D165150,D167870,D259050,D300232,,,,,,,,,,,,,,,,,DB00490
DB00491,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00491
DB00492,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00492
DB00494,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,,DB00494
DB00497,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00497
DB00499,1,D176807,,,,,,,,,,,,,,,,,,,,,,DB00499
DB00500,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,DB00500
DB00501,4,D109350,D190310,D264120,D304790,,,,,,,,,,,,,,,,,,,DB00501
DB00502,4,D127750,D137580,D181500,D182830,,,,,,,,,,,,,,,,,,,DB00502
DB00508,2,D145590,D147530,,,,,,,,,,,,,,,,,,,,,DB00508
DB00510,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,,DB00510
DB00514,2,D145590,D608088,,,,,,,,,,,,,,,,,,,,,DB00514
DB00515,9,D109800,D133239,D182280,D236000,D254500,D256700,D259500,D273300,D276300,,,,,,,,,,,,,,DB00515
DB00519,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00519
DB00521,3,D137750,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00521
DB00523,1,D148000,,,,,,,,,,,,,,,,,,,,,,DB00523
DB00524,3,D161900,D215140,D608622,,,,,,,,,,,,,,,,,,,,DB00524
DB00527,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00527
DB00530,1,D144700,,,,,,,,,,,,,,,,,,,,,,DB00530
DB00532,1,D104130,,,,,,,,,,,,,,,,,,,,,,DB00532
DB00533,1,D157300,,,,,,,,,,,,,,,,,,,,,,DB00533
DB00535,2,D166760,D208550,,,,,,,,,,,,,,,,,,,,,DB00535
DB00536,3,D113610,D218200,D312910,,,,,,,,,,,,,,,,,,,,DB00536
DB00537,5,D145590,D166760,D208550,D258360,D266600,,,,,,,,,,,,,,,,,,DB00537
DB00540,6,D143465,D147530,D167870,D252320,D600631,D600808,,,,,,,,,,,,,,,,,DB00540
DB00541,13,D109543,D194070,D223350,D236000,D246470,D247640,D254500,D256700,D267730,D268220,D276300,D601608,D601626,,,,,,,,,,DB00541
DB00542,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00542
DB00544,5,D106400,D114480,D114500,D137215,D276300,,,,,,,,,,,,,,,,,,DB00544
DB00545,2,D252320,D254200,,,,,,,,,,,,,,,,,,,,,DB00545
DB00547,1,D233810,,,,,,,,,,,,,,,,,,,,,,DB00547
DB00548,1,D604416,,,,,,,,,,,,,,,,,,,,,,DB00548
DB00549,1,D208550,,,,,,,,,,,,,,,,,,,,,,DB00549
DB00550,1,D275000,,,,,,,,,,,,,,,,,,,,,,DB00550
DB00552,1,D276300,,,,,,,,,,,,,,,,,,,,,,DB00552
DB00554,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,DB00554
DB00555,4,D102100,D181500,D217200,D239350,,,,,,,,,,,,,,,,,,,DB00555
DB00557,2,D145590,D147530,,,,,,,,,,,,,,,,,,,,,DB00557
DB00559,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,,DB00559
DB00563,22,D109543,D109800,D114480,D114500,D133239,D137215,D151590,D182280,D208920,D223350,D231090,D233810,D236000,D246470,D247640,D254400,D259500,D267730,D268220,D273300,D276300,D601626,DB00563
DB00564,6,D102300,D104130,D128101,D165199,D181500,D190400,,,,,,,,,,,,,,,,,DB00564
DB00569,1,D188050,,,,,,,,,,,,,,,,,,,,,,DB00569
DB00570,7,D114480,D148000,D188030,D236000,D254400,D273300,D276300,,,,,,,,,,,,,,,,DB00570
DB00571,10,D110100,D115000,D140850,D157300,D157700,D161900,D171300,D190300,D300125,D608622,,,,,,,,,,,,,DB00571
DB00572,2,D190310,D226150,,,,,,,,,,,,,,,,,,,,,DB00572
DB00573,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,DB00573
DB00575,10,D102300,D137580,D143465,D144110,D147530,D161900,D171300,D601042,D607554,D608622,,,,,,,,,,,,,DB00575
DB00580,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,DB00580
DB00583,1,D212140,,,,,,,,,,,,,,,,,,,,,,DB00583
DB00584,2,D146255,D608622,,,,,,,,,,,,,,,,,,,,,DB00584
DB00585,4,D109350,D190310,D304790,D600263,,,,,,,,,,,,,,,,,,,DB00585
DB00586,9,D106400,D140600,D147530,D150600,D165720,D208230,D308205,D607459,D607850,,,,,,,,,,,,,,DB00586
DB00588,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,DB00588
DB00590,6,D147530,D161900,D179600,D200170,D600082,D608622,,,,,,,,,,,,,,,,,DB00590
DB00591,1,D603165,,,,,,,,,,,,,,,,,,,,,,DB00591
DB00593,1,D217200,,,,,,,,,,,,,,,,,,,,,,DB00593
DB00594,4,D161900,D208300,D215140,D608622,,,,,,,,,,,,,,,,,,,DB00594
DB00596,1,D233810,,,,,,,,,,,,,,,,,,,,,,DB00596
DB00598,5,D110100,D157700,D161900,D171300,D608622,,,,,,,,,,,,,,,,,,DB00598
DB00603,5,D102500,D131200,D144700,D192000,D605839,,,,,,,,,,,,,,,,,,DB00603
DB00604,1,D304790,,,,,,,,,,,,,,,,,,,,,,DB00604
DB00605,8,D133690,D140600,D147530,D165720,D175100,D208230,D607459,D607850,,,,,,,,,,,,,,,DB00605
DB00608,1,D181000,,,,,,,,,,,,,,,,,,,,,,DB00608
DB00611,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00611
DB00612,2,D110100,D157700,,,,,,,,,,,,,,,,,,,,,DB00612
DB00619,4,D131440,D247640,D276300,D607685,,,,,,,,,,,,,,,,,,,DB00619
DB00620,13,D104130,D114580,D133600,D147540,D148100,D151590,D152700,D165199,D173200,D181000,D188030,D208550,D223350,,,,,,,,,,DB00620
DB00622,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00622
DB00623,1,D181500,,,,,,,,,,,,,,,,,,,,,,DB00623
DB00624,3,D114480,D215470,D241100,,,,,,,,,,,,,,,,,,,,DB00624
DB00627,2,D144010,D144650,,,,,,,,,,,,,,,,,,,,,DB00627
DB00630,5,D102500,D150600,D166710,D167320,D602080,,,,,,,,,,,,,,,,,,DB00630
DB00631,1,D247640,,,,,,,,,,,,,,,,,,,,,,DB00631
DB00635,22,D109100,D125600,D126200,D133600,D143880,D146850,D147540,D151590,D152700,D157300,D181000,D188030,D205700,D208550,D208920,D223350,D233810,D247640,D254400,D276300,D304790,D600351,DB00635
DB00636,1,D144650,,,,,,,,,,,,,,,,,,,,,,DB00636
DB00637,1,D147540,,,,,,,,,,,,,,,,,,,,,,DB00637
DB00640,1,D194200,,,,,,,,,,,,,,,,,,,,,,DB00640
DB00641,1,D144010,,,,,,,,,,,,,,,,,,,,,,DB00641
DB00642,1,D276300,,,,,,,,,,,,,,,,,,,,,,DB00642
DB00644,1,D146110,,,,,,,,,,,,,,,,,,,,,,DB00644
DB00647,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00647
DB00650,3,D114500,D176800,D259500,,,,,,,,,,,,,,,,,,,,DB00650
DB00651,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,DB00651
DB00652,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00652
DB00653,5,D127350,D189800,D217200,D239350,D248190,,,,,,,,,,,,,,,,,,DB00653
DB00654,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,DB00654
DB00655,2,D215470,D311360,,,,,,,,,,,,,,,,,,,,,DB00655
DB00657,4,D137580,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,DB00657
DB00659,1,D103780,,,,,,,,,,,,,,,,,,,,,,DB00659
DB00661,8,D115000,D115195,D157300,D161900,D200170,D607554,D608583,D608622,,,,,,,,,,,,,,,DB00661
DB00668,6,D137750,D137760,D147540,D208550,D600807,D601682,,,,,,,,,,,,,,,,,DB00668
DB00669,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,,DB00669
DB00672,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00672
DB00674,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,,DB00674
DB00675,2,D114480,D174800,,,,,,,,,,,,,,,,,,,,,DB00675
DB00678,4,D145500,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,DB00678
DB00679,1,D181500,,,,,,,,,,,,,,,,,,,,,,DB00679
DB00682,6,D107320,D125310,D540000,D601367,D607554,D608583,,,,,,,,,,,,,,,,,DB00682
DB00686,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00686
DB00687,2,D157700,D252320,,,,,,,,,,,,,,,,,,,,,DB00687
DB00691,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00691
DB00692,6,D155100,D161900,D171300,D231200,D273800,D608622,,,,,,,,,,,,,,,,,DB00692
DB00694,5,D148000,D223350,D247640,D276300,D601626,,,,,,,,,,,,,,,,,,DB00694
DB00695,11,D143880,D146255,D161900,D166300,D203700,D208300,D210050,D215140,D256370,D600351,D608622,,,,,,,,,,,,DB00695
DB00696,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,,DB00696
DB00697,5,D157300,D160750,D190400,D200170,D601042,,,,,,,,,,,,,,,,,,DB00697
DB00704,1,D103780,,,,,,,,,,,,,,,,,,,,,,DB00704
DB00706,4,D147530,D200170,D310468,D600082,,,,,,,,,,,,,,,,,,,DB00706
DB00707,1,D133239,,,,,,,,,,,,,,,,,,,,,,DB00707
DB00710,2,D102500,D166710,,,,,,,,,,,,,,,,,,,,,DB00710
DB00712,7,D103100,D140600,D153880,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,DB00712
DB00714,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,,DB00714
DB00715,4,D131300,D164230,D167870,D252320,,,,,,,,,,,,,,,,,,,DB00715
DB00716,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,DB00716
DB00717,6,D102500,D131200,D184700,D192000,D215470,D604416,,,,,,,,,,,,,,,,,DB00717
DB00721,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00721
DB00722,5,D125310,D146255,D161900,D608320,D608622,,,,,,,,,,,,,,,,,,DB00722
DB00724,1,D106400,,,,,,,,,,,,,,,,,,,,,,DB00724
DB00727,2,D179600,D189800,,,,,,,,,,,,,,,,,,,,,DB00727
